,movieId,title,genres,scores
243,296,pulp fiction,Comedy Crime Drama Thriller,145.82174675469892
487,593,"silence of the lambs, the",Crime Horror Thriller,118.82051015169694
212,260,star wars: episode iv - a new hope,Action Adventure Sci-Fi,114.58993751446516
484,589,terminator 2: judgment day,Action Sci-Fi,106.04727795947223
856,1198,raiders of the lost ark (indiana jones and the raiders of the lost ark),Action Adventure,103.14396169478252
867,1210,star wars: episode vi - return of the jedi,Action Adventure Sci-Fi,98.33824516385899
45,50,"usual suspects, the",Crime Mystery Thriller,94.68794988959233
0,1,toy story,Adventure Animation Children Comedy Fantasy,91.68673784463414
439,527,schindler's list,Drama War,90.39344038294372
2035,2858,american beauty,Drama Romance,89.99922145810078
3408,4993,"lord of the rings: the fellowship of the ring, the",Adventure Fantasy,89.36473068588546
378,457,"fugitive, the",Thriller,88.95574411597835
1973,2762,"sixth sense, the",Drama Horror Mystery,85.84356416500006
496,608,fargo,Comedy Crime Drama Thriller,82.93699075541168
42,47,seven (a.k.a. se7en),Mystery Thriller,81.25755377996502
946,1291,indiana jones and the last crusade,Action Adventure,80.92383216734513
925,1270,back to the future,Adventure Comedy Sci-Fi,80.89439647355093
118,150,apollo 13,Adventure Drama IMAX,80.38908241068204
486,592,batman,Action Crime Thriller,80.12508099655739
2533,3578,gladiator,Action Adventure Drama,76.9223401235996
756,1036,die hard,Action Crime Thriller,69.98596746743556
1205,1682,"truman show, the",Comedy Drama Sci-Fi,64.38077266085037
317,377,speed,Action Romance Thriller,64.33675461452904
879,1222,full metal jacket,Drama War,64.30371474833149
852,1193,one flew over the cuckoo's nest,Drama,62.62512738721742
4043,6377,finding nemo,Adventure Animation Children Comedy,62.14144223151206
2676,3793,x-men,Action Adventure Sci-Fi,61.329441960567976
1883,2628,star wars: episode i - the phantom menace,Action Adventure Sci-Fi,59.85966880049477
1649,2329,american history x,Crime Drama,59.11343838405286
6079,58559,"dark knight, the",Action Crime Drama IMAX,58.67845469150218
4531,7361,eternal sunshine of the spotless mind,Drama Romance Sci-Fi,58.48743708545645
2134,2997,being john malkovich,Comedy Drama Fantasy,57.8181729614796
2815,3996,"crouching tiger, hidden dragon (wo hu cang long)",Action Drama Romance,57.595697132205956
285,344,ace ventura: pet detective,Comedy,55.687823046129985
31,34,babe,Children Drama,55.63859839677602
1228,1721,titanic,Drama Romance,55.20788732116889
3344,4878,donnie darko,Drama Mystery Sci-Fi Thriller,54.585719880079644
1374,1968,"breakfast club, the",Comedy Drama,54.10746037551783
6644,79132,inception,Action Crime Drama Mystery Sci-Fi Thriller IMAX,54.00664146588563
2247,3147,"green mile, the",Crime Drama,53.953240183950555
3393,4973,"amelie (fabuleux destin d'amélie poulain, le)",Comedy Romance,53.83527289937862
1235,1732,"big lebowski, the",Comedy Crime,53.39740271409629
5719,48516,"departed, the",Crime Drama Thriller,53.102274925827544
3410,4995,"beautiful mind, a",Drama Romance,52.66306439838266
3600,5418,"bourne identity, the",Action Mystery Thriller,52.144674436494
1161,1617,l.a. confidential,Crime Film-Noir Mystery Thriller,51.73028335351918
2828,4011,snatch,Comedy Crime Thriller,51.640114529576664
564,733,"rock, the",Action Adventure Thriller,51.55500094536638
3354,4896,harry potter and the sorcerer's stone (a.k.a. harry potter and the philosopher's stone),Adventure Children Fantasy,51.42337105771369
5575,44191,v for vendetta,Action Sci-Fi Thriller IMAX,51.27368801445175
186,231,dumb & dumber (dumb and dumber),Adventure Comedy,50.56131728722937
574,750,dr. strangelove or: how i learned to stop worrying and love the bomb,Comedy War,49.66103955072521
5376,33794,batman begins,Action Crime IMAX,49.34659206818191
1020,1387,jaws,Action Horror,48.261151534814076
5,6,heat,Action Crime Thriller,47.585206879748064
2838,4022,cast away,Drama,47.51773182525732
901,1246,dead poets society,Drama,45.21211635511153
2842,4027,"o brother, where art thou?",Adventure Comedy Crime,44.95745086725867
914,1259,stand by me,Adventure Drama,44.72337879673118
2077,2916,total recall,Action Adventure Sci-Fi Thriller,44.378951688107804
1996,2797,big,Comedy Drama Fantasy Romance,43.6557755897698
129,161,crimson tide,Drama Thriller War,43.626212123159604
206,253,interview with the vampire: the vampire chronicles,Drama Horror,42.73676208380557
298,357,four weddings and a funeral,Comedy Romance,42.50911879195151
2177,3052,dogma,Adventure Comedy Fantasy,41.54385772690328
3794,5816,harry potter and the chamber of secrets,Adventure Fantasy,41.446979037051776
1670,2355,"bug's life, a",Adventure Animation Children Comedy,40.80310532128863
1416,2012,back to the future part iii,Adventure Comedy Sci-Fi Western,40.52568487274459
290,349,clear and present danger,Action Crime Drama Thriller,40.27704654838246
6132,60069,wall·e,Adventure Animation Children Romance Sci-Fi,40.22210801769057
4739,8360,shrek 2,Adventure Animation Children Comedy Musical Romance,40.213298204755176
236,288,natural born killers,Action Crime Thriller,39.679638465548514
877,1220,"blues brothers, the",Action Comedy Musical,39.61404566758326
168,208,waterworld,Action Adventure Sci-Fi,39.49191741872818
1645,2324,life is beautiful (la vita è bella),Comedy Drama Romance War,39.16349349184304
6108,59315,iron man,Action Adventure Sci-Fi,39.02932937017708
6362,68954,up,Adventure Animation Children Drama,39.01131691123536
2497,3527,predator,Action Sci-Fi Thriller,38.74742438246449
5312,32587,sin city,Action Crime Film-Noir Mystery Thriller,38.68898040004923
5356,33493,star wars: episode iii - revenge of the sith,Action Adventure Sci-Fi,38.186357899079184
4187,6711,lost in translation,Comedy Drama Romance,38.16008979019859
1125,1573,face/off,Action Crime Drama Thriller,38.02696990080037
1258,1784,as good as it gets,Comedy Drama Romance,37.98173311780503
1328,1917,armageddon,Action Romance Sci-Fi Thriller,36.173620146076345
280,339,while you were sleeping,Comedy Romance,36.03950241264611
4745,8368,harry potter and the prisoner of azkaban,Adventure Fantasy IMAX,35.84567200267125
5715,48394,"pan's labyrinth (laberinto del fauno, el)",Drama Fantasy Thriller,35.82407113567717
815,1127,"abyss, the",Action Adventure Sci-Fi Thriller,35.27013507465229
4833,8665,"bourne supremacy, the",Action Crime Thriller,34.43164835763123
1888,2640,superman,Action Adventure Sci-Fi,34.39661858452243
5735,48780,"prestige, the",Drama Mystery Sci-Fi Thriller,34.36896168414992
4020,6333,x2: x-men united,Action Adventure Sci-Fi Thriller,34.265155886666925
112,141,"birdcage, the",Comedy,34.23707967598017
3886,6016,city of god (cidade de deus),Action Adventure Crime Drama Thriller,34.066198536137385
5749,49272,casino royale,Action Adventure Thriller,33.83933870048694
6337,68157,inglourious basterds,Action Drama War,33.83822491330076
1606,2268,"few good men, a",Crime Drama Thriller,33.793369801853174
4432,7147,big fish,Drama Fantasy Romance,33.70526058463865
5656,46578,little miss sunshine,Adventure Comedy Drama,33.67892173294595
5504,40815,harry potter and the goblet of fire,Adventure Fantasy Thriller IMAX,33.51129877634212
3581,5378,star wars: episode ii - attack of the clones,Action Adventure Sci-Fi IMAX,33.367040357836515
54,62,mr. holland's opus,Drama,33.36645091512974
5831,51662,300,Action Fantasy War IMAX,32.89737358069562
902,1247,"graduate, the",Comedy Drama Romance,32.78092208463538
1084,1485,liar liar,Comedy,32.681079395229425
1920,2692,run lola run (lola rennt),Action Crime,32.66941643999755
3505,5218,ice age,Adventure Animation Children Comedy,32.46173357225621
6986,91529,"dark knight rises, the",Action Adventure Crime IMAX,32.40237235719755
6509,72998,avatar,Action Adventure Sci-Fi IMAX,32.188822746458484
463,555,true romance,Crime Thriller,32.07407306222719
2975,4246,bridget jones's diary,Comedy Drama Romance,32.07313935465856
872,1215,army of darkness,Action Adventure Comedy Fantasy Horror,32.01959991551493
1167,1625,"game, the",Drama Mystery Thriller,31.81556690589679
2584,3671,blazing saddles,Comedy Western,31.53934269230932
4287,6934,"matrix revolutions, the",Action Adventure Sci-Fi Thriller IMAX,31.527091303468836
755,1035,"sound of music, the",Musical Romance,31.440038932337288
363,440,dave,Comedy Romance,31.338127354219456
18,19,ace ventura: when nature calls,Comedy,31.25056850889745
1036,1407,scream,Comedy Horror Mystery Thriller,31.16050218597791
1409,2005,"goonies, the",Action Adventure Children Comedy Fantasy,31.09083702256364
790,1090,platoon,Drama War,30.869181658474695
5515,41566,"chronicles of narnia: the lion, the witch and the wardrobe, the",Adventure Children Fantasy,30.765985728322093
5734,48774,children of men,Action Adventure Drama Sci-Fi Thriller,30.73859895577373
4081,6502,28 days later,Action Horror Sci-Fi,30.70172330543074
2161,3033,spaceballs,Comedy Sci-Fi,30.612204227362042
1027,1394,raising arizona,Comedy,30.32892763727894
1178,1645,the devil's advocate,Drama Mystery Thriller,30.02020976913262
422,508,philadelphia,Drama,29.92732917790427
2412,3408,erin brockovich,Drama,29.86908542224008
5922,54286,"bourne ultimatum, the",Action Crime Thriller,29.859929914002706
1016,1380,grease,Comedy Musical Romance,29.774162430356157
907,1252,chinatown,Crime Film-Noir Mystery Thriller,29.741489052766585
4829,8644,"i, robot",Action Adventure Sci-Fi Thriller,29.704437859804088
5823,51255,hot fuzz,Action Comedy Crime Mystery,29.613416554796927
61,70,from dusk till dawn,Action Comedy Horror Thriller,29.45015105881474
10,11,"american president, the",Comedy Drama Romance,29.172605796438006
2650,3751,chicken run,Animation Children Comedy,29.16626235745347
335,410,addams family values,Children Comedy Fantasy,28.905379791777214
16,17,sense and sensibility,Drama Romance,28.852343542323318
861,1203,12 angry men,Drama,28.653421955410273
4431,7143,"last samurai, the",Action Adventure Drama War,28.645579003990495
2652,3753,"patriot, the",Action Drama War,28.565961937300877
2313,3253,wayne's world,Comedy,28.44062768747553
5637,45722,pirates of the caribbean: dead man's chest,Action Adventure Fantasy,28.431432293610193
931,1276,cool hand luke,Drama,28.41367012943369
6406,70286,district 9,Mystery Sci-Fi Thriller,28.39613395104817
1642,2321,pleasantville,Comedy Drama Fantasy,28.10398098483796
886,1230,annie hall,Comedy Romance,28.098907163838575
1546,2167,blade,Action Horror Thriller,28.071717559410292
699,953,it's a wonderful life,Children Drama Fantasy Romance,28.044366122232464
4260,6863,school of rock,Comedy Musical,28.03521532217459
1866,2599,election,Comedy,27.929949969984676
246,300,quiz show,Drama,27.92059276890489
930,1275,highlander,Action Adventure Fantasy,27.86151381094593
4859,8784,garden state,Comedy Drama Romance,27.82919751697257
1255,1777,"wedding singer, the",Comedy Romance,27.818575769086337
6922,89745,"avengers, the",Action Adventure Sci-Fi IMAX,27.773728055770945
6014,56367,juno,Comedy Drama Romance,27.756055709498813
956,1302,field of dreams,Children Drama Fantasy,27.68816340567383
3288,4776,training day,Crime Drama Thriller,27.591790772139476
2420,3421,animal house,Comedy,27.483915923352
6366,69122,"hangover, the",Comedy Crime,27.406039766253702
5628,45499,x-men: the last stand,Action Sci-Fi Thriller,27.40377794189241
2335,3275,"boondock saints, the",Action Crime Drama Thriller,27.369689857605593
1012,1376,star trek iv: the voyage home,Adventure Comedy Sci-Fi,27.34537788515243
1717,2406,romancing the stone,Action Adventure Comedy Romance,27.173620097969906
940,1285,heathers,Comedy,26.95189446498501
6511,73017,sherlock holmes,Action Crime Mystery Thriller,26.86268068412607
1768,2470,crocodile dundee,Adventure Comedy,26.776199471311195
2515,3552,caddyshack,Comedy,26.706056633990926
1073,1466,donnie brasco,Crime Drama,26.655706255616852
3654,5502,signs,Horror Sci-Fi Thriller,26.63472223748979
5424,35836,"40-year-old virgin, the",Comedy Romance,26.61427059593849
1410,2006,"mask of zorro, the",Action Comedy Romance,26.580020019019408
1470,2078,"jungle book, the",Animation Children Comedy Musical,26.550691913770784
5991,55820,no country for old men,Crime Drama,26.472050797995855
571,745,wallace & gromit: a close shave,Animation Children Comedy,26.417667775329175
2469,3489,hook,Adventure Comedy Fantasy,26.289114163090773
7226,99114,django unchained,Action Drama Western,26.256439369191785
261,317,"santa clause, the",Comedy Drama Fantasy,26.25414459602336
1232,1729,jackie brown,Crime Drama Thriller,26.167296487703204
5396,34162,wedding crashers,Comedy Romance,26.08837669294905
6227,63082,slumdog millionaire,Crime Drama Romance,25.829821457077195
1173,1639,chasing amy,Comedy Drama Romance,25.78794363115602
3871,5991,chicago,Comedy Crime Drama Musical,25.7262912396428
652,903,vertigo,Drama Mystery Romance Thriller,25.723974366687287
490,596,pinocchio,Animation Children Fantasy Musical,25.660363068519743
1174,1641,"full monty, the",Comedy Drama,25.59744848843644
3416,5010,black hawk down,Action Drama War,25.58103055303779
862,1204,lawrence of arabia,Adventure Drama War,25.44116283158783
5410,34405,serenity,Action Adventure Sci-Fi,25.434703659194952
2841,4025,miss congeniality,Comedy Crime,25.41843885534687
5807,50872,ratatouille,Animation Children Drama,25.297759498768812
1423,2019,seven samurai (shichinin no samurai),Action Adventure Drama,25.242421829490425
1812,2529,planet of the apes,Action Drama Sci-Fi,25.023942010057013
897,1242,glory,Drama War,24.967973348845245
6007,56174,i am legend,Action Horror Sci-Fi Thriller IMAX,24.852102170950065
2556,3623,mission: impossible ii,Action Adventure Thriller,24.847637898645633
6549,74458,shutter island,Drama Mystery Thriller,24.814044999505597
216,266,legends of the fall,Drama Romance War Western,24.79510176415996
3831,5902,adaptation,Comedy Drama Romance,24.785855046783723
3012,4308,moulin rouge,Drama Musical Romance,24.657157053453748
1708,2395,rushmore,Comedy Drama,24.393769933787794
6630,78499,toy story 3,Adventure Animation Children Comedy Fantasy IMAX,24.369454144811783
4040,6373,bruce almighty,Comedy Drama Fantasy Romance,24.33893411836866
5370,33679,mr. & mrs. smith,Action Adventure Comedy Romance,24.30104046260522
5345,33166,crash,Crime Drama,24.264799127948514
2103,2951,"fistful of dollars, a (per un pugno di dollari)",Action Western,24.22045914897769
1611,2278,ronin,Action Crime Thriller,24.17271768055324
4918,8950,the machinist,Drama Mystery Thriller,24.16687392165297
2135,3000,princess mononoke (mononoke-hime),Action Adventure Animation Drama Fantasy,24.13652692385279
5714,48385,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Comedy,24.135031205009113
662,913,"maltese falcon, the",Film-Noir Mystery,24.12947322964211
1401,1997,"exorcist, the",Horror Mystery,24.031278393783758
1493,2105,tron,Action Adventure Sci-Fi,24.001948797821704
423,509,"piano, the",Drama Romance,23.881189612106333
591,788,"nutty professor, the",Comedy Fantasy Romance Sci-Fi,23.819601413419694
905,1250,"bridge on the river kwai, the",Adventure Drama War,23.772923712289927
413,497,much ado about nothing,Comedy Romance,23.65361418486414
1629,2302,my cousin vinny,Comedy,23.5732888982376
5465,38061,kiss kiss bang bang,Comedy Crime Mystery Thriller,23.482968586294362
5918,54272,"simpsons movie, the",Animation Comedy,23.391419296831785
43,48,pocahontas,Animation Children Drama Musical Romance,23.356272443194193
1974,2763,"thomas crown affair, the",Action Mystery,23.28738396891891
5924,54503,superbad,Comedy,23.207123146411746
2267,3176,"talented mr. ripley, the",Drama Mystery Thriller,23.147696982129457
3644,5481,austin powers in goldmember,Comedy,23.0842926378741
5910,54001,harry potter and the order of the phoenix,Adventure Drama Fantasy IMAX,22.99465350304048
2113,2968,time bandits,Adventure Comedy Fantasy Sci-Fi,22.983071421170575
1592,2248,say anything...,Comedy Drama Romance,22.951757466925343
1471,2080,lady and the tramp,Animation Children Comedy Romance,22.951487026914428
885,1228,raging bull,Drama,22.91457943134302
6344,68358,star trek,Action Adventure Sci-Fi IMAX,22.9004460413057
2750,3911,best in show,Comedy,22.70580761852463
937,1282,fantasia,Animation Children Fantasy Musical,22.601273318205934
126,158,casper,Adventure Children,22.586292072092718
2971,4239,blow,Crime Drama,22.51381925585967
3048,4370,a.i. artificial intelligence,Adventure Drama Sci-Fi,22.497722912081663
4538,7373,hellboy,Action Adventure Fantasy Horror,22.437376320519963
5217,30749,hotel rwanda,Drama War,22.420876127228524
2225,3108,"fisher king, the",Comedy Drama Fantasy Romance,22.3762189027953
648,899,singin' in the rain,Comedy Musical Romance,22.346978000890033
1468,2076,blue velvet,Drama Mystery Thriller,22.31162905454312
3327,4848,mulholland drive,Crime Drama Film-Noir Mystery Thriller,22.289589687964565
5389,34048,war of the worlds,Action Adventure Sci-Fi Thriller,22.24398857078
1490,2100,splash,Comedy Fantasy Romance,22.208088294809876
2257,3160,magnolia,Drama,22.17065766196367
5761,49530,blood diamond,Action Adventure Crime Drama Thriller War,22.14310933047289
1007,1371,star trek: the motion picture,Adventure Sci-Fi,22.035349773121602
4292,6942,love actually,Comedy Drama Romance,21.983812667915686
2881,4085,beverly hills cop,Action Comedy Crime Drama,21.944286902026814
659,910,some like it hot,Comedy Crime,21.8929996783308
589,785,kingpin,Comedy,21.848176419697346
2418,3418,thelma & louise,Adventure Crime Drama,21.808361100335713
3097,4447,legally blonde,Comedy Romance,21.77884865727212
3312,4816,zoolander,Comedy,21.765817405592703
792,1092,basic instinct,Crime Mystery Thriller,21.70047581760582
1029,1396,sneakers,Action Comedy Crime Drama Sci-Fi,21.560458917355355
1307,1884,fear and loathing in las vegas,Adventure Comedy Drama,21.517372733659634
1718,2407,cocoon,Comedy Sci-Fi,21.514829480036926
364,441,dazed and confused,Comedy,21.48435684310264
4264,6870,mystic river,Crime Drama Mystery,21.460864345088325
5267,31658,howl's moving castle (hauru no ugoku shiro),Adventure Animation Fantasy Romance,21.459029806366118
6459,71535,zombieland,Action Comedy Horror,21.45332935249568
355,431,carlito's way,Crime Drama,21.32787419328608
5876,52973,knocked up,Comedy Drama Romance,21.281375105645196
7495,109487,interstellar,Sci-Fi IMAX,21.242643033196977
6047,57669,in bruges,Comedy Crime Drama Thriller,21.24059151026214
6679,80463,"social network, the",Drama,21.22828302727919
2315,3255,"league of their own, a",Comedy Drama,21.188145816394005
1359,1953,"french connection, the",Action Crime Thriller,21.153549468129825
1198,1674,witness,Drama Romance Thriller,21.127344780707126
5882,53125,pirates of the caribbean: at world's end,Action Adventure Comedy Fantasy,21.067126655189284
1541,2161,"neverending story, the",Adventure Children Fantasy,21.06678838688535
942,1287,ben-hur,Action Adventure Drama,21.05924242924248
6591,76251,kick-ass,Action Comedy,21.024167945843455
114,145,bad boys,Action Comedy Crime Drama Thriller,20.892928047925693
1609,2273,rush hour,Action Comedy Crime Thriller,20.85637674064272
2834,4018,what women want,Comedy Romance,20.815001346472982
4793,8529,"terminal, the",Comedy Drama Romance,20.79705611873308
